campaign_id,block_id,prevhash,metric,observed,null_mean,null_sd,z_score,permutation_p_two_sided,permutations
traj_20260905_190202_4a454354,c0c363e05be7e6508fa822f403bca427ed54324694c243b24204117e96247f59,7f107b87fddd4f1364e4ad5ca5097bb67eca07c40001a6c70000000000000000,mean_circular_nonce_distance,1085300952.131669,1074438381.990046,10273001.489160,1.057390,0.258706,200
traj_20260905_190202_4a454354,c0c363e05be7e6508fa822f403bca427ed54324694c243b24204117e96247f59,7f107b87fddd4f1364e4ad5ca5097bb67eca07c40001a6c70000000000000000,mean_xor_popcount,15.953744,15.997994,0.044614,-0.991832,0.363184,200
traj_20260905_190202_4a454354,c0c363e05be7e6508fa822f403bca427ed54324694c243b24204117e96247f59,7f107b87fddd4f1364e4ad5ca5097bb67eca07c40001a6c70000000000000000,mean_common_prefix_bits,0.967450,0.999619,0.023951,-1.343162,0.184080,200
traj_20260905_190202_4a454354,c0c363e05be7e6508fa822f403bca427ed54324694c243b24204117e96247f59,7f107b87fddd4f1364e4ad5ca5097bb67eca07c40001a6c70000000000000000,mean_common_suffix_bits,0.986050,0.998774,0.022186,-0.573508,0.567164,200
traj_20260905_190202_4a454354,c0c363e05be7e6508fa822f403bca427ed54324694c243b24204117e96247f59,7f107b87fddd4f1364e4ad5ca5097bb67eca07c40001a6c70000000000000000,spearman_y_rank_vs_nonce,0.000967,-0.001986,0.015909,0.185622,0.820896,200
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_abs_nonce_delta,1433533850.719922,1423184488.759344,13720347.266102,0.754308,0.398010,200
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_circular_nonce_distance,1084141770.448420,1072878486.209753,9722214.943060,1.158510,0.253731,200
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_xor_popcount,16.032345,16.000483,0.044427,0.717179,0.452736,200
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_common_prefix_bits,0.989463,1.001241,0.022338,-0.527261,0.601990,200
traj_20260905_190202_4a454354,2644cc2f3716b2b392fdc4323c27b0742070d628f91d6115901736b561982570,86f23d0f9302b660705da4244f1c7cf039fef63f0000bfc60000000000000000,mean_common_suffix_bits,1.017643,1.002577,0.022522,0.668950,0.547264,200
