global_round,sha_pass,compression_index,local_round,feature,comparison,prevhash_count,bje_count,mean_rank_biserial,median_rank_biserial,bootstrap_ci_low,bootstrap_ci_high,mean_ks
0,1,0,0,T1_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_normalized,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_bit_transitions,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T1_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,T2_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_e_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_e_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_e_chain_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_e_carry_mask_popcount,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_a_carry_count,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
0,1,0,0,new_a_maximum_chain,EXTREME_vs_RANDOM_CONTROL,4,8,0.000000,0.000000,0.000000,0.000000,0.000000
